@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair;Column1;_1;_2;_3;_4;_5
29455088;Loge;474985900;87313532;;;;;bar;;;;"Mo,Tu 15:00-18:00+; We-Fr 14:30-18:00+; Sa,Su 13:30-18:00+";;;;;;;;
34039212;Hallenbadrestaurant Geiselweid;474955184;87415564;;;;;restaurant;;;;"Tu-Fr 09:00-21:00; Mo 11:30-21:00; Sa,Su 09:00-18:30";;;;;;;;
34040796;Schwimmbadrestaurant Töss;474830648;87057040;;;;;restaurant;;no;yes;;;;;;;;;
246249861;Tibits;475000502;87312632;Winterthur;8400;Oberer Graben;48;restaurant;;;;Mo 07:00-22:00; Tu-Fr 07:00-22:30; Sa 08:00-22:30; Su 09:00-22:00;https://www.tibits.ch/de/restaurants#tibits-winterthur;yes;;;
246252799;Kafisatz;474989007;87272644;Winterthur;8400;Spitalgasse;1;cafe;;yes;yes;"Mo,We-Th 08:00-24:00; Tu 07:00-24:00; Fr 07:00-02:00; Sa 08:30-02:00; Su 12:00-22:00";https://kafisatz.ch;limited;;;;;;
246253649;Vollenweider;474998045;87250404;Winterthur;8400;Stadthausstrasse;20;cafe;;;;Mo-Fr 08:00-18:00; Sa 08:30-18:00; Su 09:00-18:00;https://www.vollenweiderchocolatier.ch/;limited;;;;
246253651;Casinotheater Restaurant Fredi;474997470;87264919;;;;;restaurant;regional;;;"Mo 11:00-22:30; Tu,We 09:00-22:30; Th,Fr 09:00-24:00; Sa 11:00-24:00";;limited;;;;;;
246253655;Albani;474984256;87292032;Winterthur;8400;Steinberggasse;16;pub;;;yes;"Mo-We 15:00-24:00; Fr,Sa 15:00+";https://www.albani.ch;limited;;;;;;
247766473;Widder;474986261;87277212;Winterthur;8400;Metzggasse;9;pub;;;yes;;https://www.gasthofzumwidder.ch/;limited;;;;;;
247766478;grepery;474979565;87273720;Winterthur;8400;Steinberggasse;59;restaurant;;;;Mo-Th 09:00-24:00; Fr-Sa 09:00-01:00; Su 09:00-23:00;https://www.grepery.ch/winterthur/;;;;;
247766635;Cappucino;474987667;87304544;;;;;cafe;coffee_shop;;;Mo-Th 07:00-00:00; Fr 07:00-01:00; Sa 08:00-01:00; Su 09:30-00:00;https://www.cappuccino-winterthur.ch/;limited;;;
247766860;Paddy O'Briens Old Irish Pub;475015260;87259480;Winterthur;8400;Merkurstrasse;25;pub;;;;Mo-We 16:00-24:00, Th,Fr 16:00-02:00, Sa 15:00-02:00, Su 17:30-24:00;https://www.paddyobriens.ch/;no;;;;;;
249730077;Chnelle 3;474979362;87321599;Winterthur;8400;Technikumstrasse;2;pub;;;;Mo-Su 18:00+;;no;;;;;;
249730688;Quincy;475036678;87273729;;8400;;;bar;;;no;Fr-Sa 17:00-02:00; Th 17:00-23:00; Su 10:00-15:00;https://quincybar.ch/;limited;;;;
256866280;National;474996979;87241129;Winterthur;8400;Stadthausstrasse;24;restaurant;;;;Mo-We 09:00-22:30; Th-Fr 09:00-23:30; Sa 09:00-23:30; Su 10:00-21:30;https://www.bindella.ch/de/national.html;limited;;;
270908998;zum Schäfli;474989606;87313826;;;;;restaurant;regional;;;Mo-Fr 08:30-00:00; Sa 10:30-00:00;https://www.restaurant-schaefli-winterthur.ch/;no;;;;;
272321242;Stadtmuur;474980775;87311439;Winterthur;8400;Holderplatz;4;cafe;;;;Mo-Tu 11:30-13:45, Th-Fr 11:30-13:45, Apr 26-May 05 off;https://stadtmuur.ch/;;;;;;;
272323419;Renegade;474980412;87306613;Winterthur;8400;Technikumstrasse;10;pub;;;;Su-Th 16:00-02:00, Fr,Sa 16:00-04:00;;no;;;;;;
277746978;Kafi Ass;474924964;87612520;;;;;restaurant;;;;;;limited;;;;;;
282655573;Alltag;474992488;87309303;Winterthur;8400;Unterer Graben;25;cafe;;yes;yes;Mo-Th 07:30-24:00, Fr 07:30-01:00, Sa 08:30-01:00, Su 10:00-18:00;https://alltag-cafebar.ch/;limited;;;;;;
282655574;Istanbul;474999063;87320208;Winterthur;8400;Obertor;21;fast_food;kebab;;yes;;;;;;;;;
282655576;Fahrenheit;474982284;87270102;Winterthur;8400;Steinberggasse;65;pub;;;yes;Mo-We 14:00-24:00; Th 14:00-01:00; Fr 14:00-02:00; Sa 09:00-02:00; Su 14:00-22:00;https://www.fahrenheit-bar.ch/;no;;
282655581;Pulcinella;474986890;87277010;Winterthur;8400;Metzggasse;11;restaurant;italian;;yes;Mo-Su 17:30-23:30;https://pulcinella-winterthur.ch/;limited;;;;;;
285953784;Plan B;474983429;87206239;Winterthur;8400;Zürcherstrasse;7;pub;;yes;yes;Mo-Th 10:00-24:00; Fr 10:00-02:00; Sa 14:00-02:00; Su 14:00-24:00;https://planb-bar.ch;limited;;;
299079168;Kraftfeld;474948426;87180767;;;;;pub;;yes;yes;Fr,Sa 21:00-05:00, We,Th 19:00-01:00;https://www.kraftfeld.ch/;;;;;;;
300428220;Hirschen;475109256;86944084;;;;;restaurant;;;;;;;;;;;;
307364223;Café Auszeit;475072030;87112534;Winterthur;8400;Wülflingerstrasse;77;restaurant;;;;Tu-Su 08:00-18:00;https://www.cafe-auszeit.ch;;;;;;;
307364547;Pizzeria Rosenberg;475116598;87216514;Winterthur;8400;Schaffhauserstrasse;56;restaurant;pizza;italian;;yes;Tu-Su 9:00-22:00;https://pizzeria-rosenberg.ch;no;;;;;
352831991;Dimensione;474994440;87325645;;;Neustadtgasse;25;cafe;;;yes;"Sa,Su off; Mo-Fr 10:00-16:00";https://www.dimensione.ch/;;;;;;;
353186982;McDonald's;474990848;87244693;;;;;fast_food;burger;yes;no;Mo-Sa 08:30-24:00,Fr 00:00-01:00,Sa 00:00-05:00,Su 00:00-06:00,10:00-24:00;https://www.mcdonalds.com/ch/de-ch/location/z-rich-zurich/winterthur/winterthur-untertor/untertor-37/780023.html;yes;;;;;;
359683408;Ristorante Pizzeria al Agi-M;474963918;87402957;;;;;restaurant;pizza;italian;;terrace;"Mo-Sa 11:00-14:00,17:00-22:30; PH closed";https://al-agi-m.ch/;no;;;;;
359683523;Bistrot George;474958068;87380951;Winterthur;8400;Grüzenstrasse;45;restaurant;;;;"Tu,Th-Su 10:00-18:00; We 10:00-20:00";https://bistro-george.ch/;limited;;;;;;
